otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,identificationQualifier,identifiedBy,recordedBy,eventDate,associatedSequences,waterBody,locality,continent,country,stateProvince,decimalLatitude,decimalLongitude,delimitation,remarks
T13832,93737,ROM,Fishes,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,clementinae,"Rendahl, 1937",NA,N. K. Lujan,N. K. Lujan et al.,2012-08-26,TBC,"Clara, Pacific Coast, Ecuador","Clara River, La Clara, around bridge and downstream",South America,Ecuador,Los Rios,-1.680472,-79.38992,NA,nathan extra
V5293,42215,AUM,Fish,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,tigris,"(Armbruster & Provenzano, 2000)",NA,N. K. Lujan,N. K. Lujan et al.,2005-04-03,TBC,"Orinoco, Ventuari","Río Ventuari, near ornamental fish market in the river",South America,Venezuela,Amazonas,4.07565,-66.89285,tigris,nathan extra
14422,43889,INPA,ICT,PreservedSpecimen,Paratype,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,R. A. Collins,V. N. Machado et al.,2013-10-31,TBC,Nhamundá,"Acima da cidade de Nhamundá, abaixo da Lagoa Sete Ilhas ",South America,Brazil,Pará,-1.71782,-57.36856,n.sp.,this study
14482,43889,INPA,ICT,PreservedSpecimen,Paratype,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,R. A. Collins,V. N. Machado et al.,2013-10-31,TBC,Nhamundá,"Acima da cidade de Nhamundá, abaixo da Lagoa Sete Ilhas ",South America,Brazil,Pará,-1.71782,-57.36856,n.sp.,this study
14483,43889,INPA,ICT,PreservedSpecimen,Paratype,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,R. A. Collins,V. N. Machado et al.,2013-10-31,TBC,Nhamundá,"Acima da cidade de Nhamundá, abaixo da Lagoa Sete Ilhas ",South America,Brazil,Pará,-1.71782,-57.36856,n.sp.,this study
14484,43889,INPA,ICT,PreservedSpecimen,Paratype,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,R. A. Collins,V. N. Machado et al.,2013-10-31,TBC,Nhamundá,"Acima da cidade de Nhamundá, abaixo da Lagoa Sete Ilhas ",South America,Brazil,Pará,-1.71782,-57.36856,n.sp.,this study
14485,43889,INPA,ICT,PreservedSpecimen,Paratype,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,R. A. Collins,V. N. Machado et al.,2013-10-31,TBC,Nhamundá,"Acima da cidade de Nhamundá, abaixo da Lagoa Sete Ilhas ",South America,Brazil,Pará,-1.71782,-57.36856,n.sp.,this study
P161,46102,INPA,ICT,PreservedSpecimen,Paratype,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,A. G. Bifi,J. Birindelli et al.,2014-09-19,TBC,"Uatumã, Pitinga","Rio Pitinga, corredeira 40 ilhas",South America,Brazil,Amazonas,-0.887778,-59.574444,n.sp.,this study
P162,16865,MZUEL,Peixes,PreservedSpecimen,Paratype,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,A. G. Bifi,J. Birindelli et al.,2014-09-19,TBC,"Uatumã, Pitinga","Rio Pitinga, corredeira 40 ilhas",South America,Brazil,Amazonas,-0.887778,-59.574444,n.sp.,this study
P18038,42767,INPA,ICT,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,A. G. Bifi,P. Charvert et al.,2013-12-01,TBC,Negro,"Rio Negro, Igarapé da Cachoeirinha. (NEG 03)",South America,Brazil,Amazonas,-0.1319444,-67.0688889,nicoi.gr1,this study
P18043,42767,INPA,ICT,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,A. G. Bifi,P. Charvert et al.,2013-12-01,TBC,Negro,"Rio Negro, Igarapé da Cachoeirinha. (NEG 03)",South America,Brazil,Amazonas,-0.1319444,-67.0688889,nicoi.gr1,this study
P18073,42907,INPA,ICT,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,A. G. Bifi,D. A. Bastos & P. M. Ito,2013-12-03,TBC,Negro,"Rio Negro, Pedral 3. (NEG 14)",South America,Brazil,Amazonas,-0.0097222,-67.2016667,nicoi.gr1,this study
T027,49502,INPA,ICT,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,A. G. Bifi,P. Charvert & D. A. Bastos,2015-02-23,TBC,"Negro, Uaupés","Rio Uaupés, pedral na boca do rio Uaupés",South America,Brazil,Amazonas,0.09598,-67.33688,nicoi.gr1,this study
